 All staff members are very courteous and go the extra mile in meeting your needs during your stay .												 The staff was friendly and courtious and was happy to help when we asked .	 The staff was very friendly .	Very Nice Hotel Very Bad Staff .	Front Desk Staff were shockingly bad .	 The staff is always very helpful   .	front desk staff need customer service 101 .	" Staff was very, very professional  however, where is the smile ?"	Great Location and top notch Staff .
" Efficient &amp  polite staff, exceptionally clean room ."												 Staff was very accommodating and always smiling and ready to assist .							
" Everything there was in great shape, and all the staff were wonderful ."												" the hotel staff was excellent, polite, courteous, and Helpful in every way ."							
" Everything was wonderful, including the staff and service ."												 The staff was friendly and helpful .							
" Extremely helpful staff, a very quiet, clean and safe property ."												 All staff were very helpful and friendly .							
 FIrst at check in the desk staff individuals were a bit rude and almost seemed to be looking down at people who are not business travelers .												 The staff was extremely friendly and helpful .							
 First of all the staff was very gracious and it is in a great location .												 The staff were extremely friendly and helpful .							
" From checking to checking out, I loved the room and the staff ."												The staff was very friendly and helpful .							
" From the beautiful lobby, to the freindly staff, to the spacious room, we were impressed ."												"However, the staff was very friendly and helpful ."							
" From the moment we checked in, the staff was courteous and meet every need, including arranging for a crib for our daughter and making sure it was safely set up before leaving our room ."												 The front desk staff was professional and very helpful .							
 Front desk staff was not pleasant at all and did not bother to satisfy our room preferences .																			
 Front desk staff were not super easy to work with but it wasn't too bad .																			
" Gorgeous hotel, great staff, fun bar lounge area and we were most impressed with the room ."																			
" Got Swissotel for a very good price, but was a little anxious since some of the reviews on this site complained of slow elevator service, unhelpful staff, etc ."																			
" Great hotel, wonderful and friendly staff, great location, fantastic view ."																			
" Great staff , we needed extra towels one morning and someone arrived within 5 minutes ."																			
" I agree with other reviewers who found the staff to be efficient, but not terribly personable ."																			
 I always tip housekeeping and the staff never disappointed .																			
" I cannot comment on room services, however the staff in the front desk were professional and helpful ."																			
" I compliment the hotel staff on their professionalism, their friendliness and their attention to detail ."																			
" I did not find the service staff to be above average in any way, with the exception of the lovely concierge ."																			
" I guess the thing that bothers me most is that from the lobby decor and staff attitudes, this hotel is trying to be very snooty but then you go to your room and it is a piece of junk !"																			
" I really did not have to deal with the staff too much, we asked for extra pillows and towels and they were brought right away, and check, in was easy ."																			
" I thought that the concierge staff was OK, certainly not too pleasant, but adequate ."																			
" I was concerned that the hotel staff would not be KID friendly, but they were all great !"																			
" If you walk in feeling entitled with your nose up in the air like they owe you something, then I daresay you might find something to squawk about, but the hotel staff I encountered doesn’t sound anything like the staff some reviewers have mentioned ."																			
" Instead we were offered a rude and incompetant staff, amateur and slow valet, over, priced internet, garage and fitness room access charges and an inept business office ."																			
 It's a block away from the Hyatt which I have also stayed at and isn't as nice as the Swissotel but at least its better staffed .																			
" My biggest complaint is I got used to the Fairmont's treatment, the staff is very well trained to meet your every need and are over accomodating ."																			
" My father and I were in town for four days from Los Angeles to catch a game at Wrigley Stadium, and the front desk and bar staff were all very friendly and accommodating, providing recommendations to us about the attractions, and transportation services ."																			
 My husband took the car to the garage and the hotel staff picked him up .																			
" Nice comfortable furniture, a fireplace and very attentive wait staff ."																			
" no more bathrobes in corner rooms suites  coffee service in room is parred way down  the buffet offered in the cafe is not as bountiful, although the cafe staff is inpeccable and extremely gracious and will bring you what you wish  check in staff not at all eager to upgrade you, even though you may be a frequent visitor ."																			
" No problem with check, in or out, and the staff was most accomodating ."																			
" Now on the side of the service andstaff, there is a real &quot snobbish&quot  attitude that isprobably related to the fact that the Swedish, Germanprogeny of Europe work at the hotel, except as luggagehandlers, toilet cleaners and car parkers ."																			
 Of course I called downstairs and was put on endless hold due to them not being staffed sufficiently .																			
 Our whole stay it felt like the staff went out of their way to make sure we had the best visit possible .																			
" Overall would stay elsewhrere downtown to many other properties who offer nicer staff assistance, quality for the price ."																			
" Positive ,  Great room, comfortable bedVery friendly staff, help you in any way they canInternet was $9 ."																			
" potential, but is probably in need of a renovation and some intense customer service training for its staff ."																			
" Previous reviewers complained of poor attitudes from the staff, But we found this to be very much the opposite ."																			
" Room 1619 was a very nice room, had a great view, beds were soft and very nice to sleep in, TV was very nice, show was very nice, staff was awesome saw to every need I inquired about ."																			
 Room service was good and the staff extremely friendly .																			
 Service was great as I was greeted immediately by bellstaff from my taxi and the desk person greeted me with a great smile .																			
 Some nice extras and the staff was very professional and most helpful .																			
" Some of the concierge staff were abit chilly at times, but the housekeeping service staff were extremely friendly and cheerful ."																			
" Staff seemed efficient though not overly friendly, no good morning, etc ."																			
" Staff very friendly, they even found me out were i can get Timerland shoes ."																			
 Staff was very accomodating .																			
" Staff were very helpful ,  when there was a problem with the bill it was immediately cleared up, with no arguing or hassle ."																			
" stayed at swissotel for 5 nights ,  just myself and two children   all the staff could not have been more welcoming, the room service was prompt and efficient and not overly expensive ."																			
" Swissotel Chicago is good hotel, very nice, very helpful and nice staff ."																			
 Swissotel has a famous restaurant inside it and the staff in there are charming and attentive .																			
" The actual hotel and rooms were very nice with amazing views, the staff was extremely rude ."																			
 The bartender and staff were the only bright spots in the lackluster weekend .																			
 The bed was comfortable  the room was clean  the view was fantastic  and the staff was both helpful and friendly .																			
 The bell staff was happy to hold my bags till I returned .																			
 The bellhop staff were not very resourceful .																			
 The check in was easy and the staff at the desk was courteous .																			
 The cleaning staff was superb and everything was accessible .																			
 The concierge   staff was helpful and steered us in the direction of a great restaurant we could walk to .																			
" The front desk staff can be clueless about this stuff, too, just handing you attitude if you complain ."																			
 The front desk staff was friendly as well .																			
" The front desk staff was not mean, but not very informative either ."																			
 The front desk staff were friendly and relatively efficient but utterly lacked any warmth   .																			
 The hotel staff tend to be aware of the tourist traps since they are close by .																			
 The hotel staff was not helpful at all .																			
" The hotel staff was very courteous and helpful, switching our room to one with 2 double beds from a king, even suggesting local restaurants to eat at just a short walk away ."																			
" The Hotel staff were professional, but the fornt desk was somewhat slow at check in ."																			
" The hotel was a bit busy during this weekend, but the staff did a great job of helping me with whatever I needed ."																			
" The hotel was beautiful, clean, and the staff was wonderful ."																			
 The location of the hotel is also good and the staff seemed friendly .																			
" The rest of the staff are slow, and unresponisive ."																			
" The room was clean, our beds   were comfortble, and the staff was friendly and helpful ,  everyone from the bellmen to the concierge to the business, center staff ."																			
" The rooms are large and well, appointed  , the staff was very professional and friendly, and the view was striking !"																			
" The rooms were great, the staff was excellent ."																			
" The several staff folks with whom I interacted were all lovely, including day &amp  night front desk, concierge, doorman, bartenders and restaurant servers ."																			
 The staff at Swissotel were not particularly nice .																			
 The staff at the front desk were very helpful and friendly and couldn't have done more for us .																			
" The staff at the hotel did not seem too overly helpful, but the staff at the Palms was absolutely excellent, as was the late, night dinner we had there on our arrival night ."																			
 The staff from front desk to concierge to housekeeping could not have been more professional and obliging .																			
 The staff have impeccable manners !																			
 The staff here was incredible .																			
 The staff is always cheerful and helpful upon arrival and during my stay .																			
 The staff is friendly and knowledgeable about the town and will go out of your way to be helpful .																			
 The staff is more than accomadating and will take care of any need you might have .																			
 The staff is not helpful and sometimes hardly able to understand even a simple English sentence .																			
 The staff is quite accommodating .																			
 The staff is very pleasant and are truly an international group .																			
 The staff removed it immediately without problem and with a smile .																			
 The staff up there does tend to treat guests like recent parolees who might be about to commit new crimes or somehow misbehave .																			
" The staff was absolutely excellent = full service, from front desk, to health club attendants, to business center personnel ."																			
" The staff was courteous, professional and efficient  the room very pleasant, and the location great !"																			
 The staff was great and put us on the 30th floor with a view of the lake .																			
 The staff was so polite and catered to our every need .																			
 The staff was terrific both with my room and with the business aspects of our event .																			
 The staff was unbelievably friendly and efficient .																			
" The staff was very accommodating, which you'd expect in a 4, star hotel ."																			
" The staff was wonderful, our room was very comfortable with an amazing view of the Chicago River and Michigan Ave, Room service was superb   ."																			
 The staff who answered the phone was happy to hang around so that he could complete his business .																			
" The views were amazing, the rooms were comfortable and the staff was always helpful whenever I had a question ."																			
 The waite staff was annoying :																			
" The worst were the clorox, like smell on that floor and the level of service provided by the staff ."																			
 The young lady that checked us in was very pleasant and I was very appreciative of the articulate directions given to us by one of the staff members .																			
" They brought up an extra robe for our child upon request and when the ice machine was broke on the surrounding floors around us, the hotel staff went and got our ice for us !"																			
" They treated us like royalty, the staff assisted us with information on some wonderful resturants and after hours entertainment ."																			
" Very classy entrance, nice staff ."																			
" Very close to everything, or the front staff will hail a cab for you ."																			
 Very nice hotel with well trained staff .																			
 We appreciated the elegant service and manner of the staff .																			
 We found plenty a nice restaurants that were recomended by the &quot natives&quot  as they call themselves rather than hotel staff .																			
 We found the desk staff to be very friendly .																			
" we had such a memorable time in Chicago, and i would like to thank the staff of the Swissotel for making it such ."																			
" We stayed here April 22, 25 and loved everything about the hotel, the staff, and our room ."																			
" We were a little nervous after reading some of the reviews regarding the attitude of the staff, especially since we booked the room through a discount site ."																			
 We were in Chicago for a concert and the staff were extremely helpful in providing various travel options for us to get to the venue .																			
" Where other hotel staff have sometimes acted &quot put out&quot  for being asked to board our luggage after checkout while we amused ourselves until flight time, Swissotel staff were charming and kind about taking it off our hands ."																			
 While we were there I would have to say I saw one or two people guests who were less than polite to the hotel staff .																			
 Why is the cleaning staff telling us they are out of coffee for the rooms ?																			
" would be satisfactory for security, and a slight air of detachment by the staff ."																			
" You come to a place like Trip Advisor and it’s so, so hard to tell fact from fiction or even to tell whether or not someone was having a bad day when they arrived or left or whether or not a guest was rude him herself and thus caused the hotel staff to be standoffish or what ."																			
", staff very slow to offer coffee &amp  clear tables, and the cream on our table was off so had to ask for replacement, but in a nice tranquil setting with a good selection of fruits, cereals, pastries ."																			
"Back in the room, the cleaning staff never made it there before 4pm in the afternoon, not very exciting when you have to spend a rainy weekend in the windy city !"																			
Beautiful Room Exceptional Staff .																			
Great location great staff great everything !																			
Great rooms staff and location but extras overpriced .																			
Hotel is staff is courteous on the most part .																			
I was very impressed with this hotel and its staff .																			
My only criticism would be that perhaps due to the size of the building and it was busy that staff appeared a bit impersonal .																			
"Staff are welcoming, room was spacious, spotless, and quality ."																			
"Staff not very helpful or friendlyOverall, a so, so experience  will not stay there again ."																			
Staff was courteous without being &quot over the top&quot  and was responsive to all requests .																			
STAFFHas that midwestern charm .																			
Thanks to the management and staff for our fabulous weekend .																			
"The clientele seemed upscale, the staff was friendly and I slept so soundly every night ,  I have absolutely nothing to complain about ."																			
"the hotel is very clean, well presented and the staff were quick and efficient ."																			
The hotel seemed understaffed at the front desk as there was only one agent when I checked in .																			
"the service staff always left our rooms clean, and even arranged my girlfreinds jewelry for her, untangling her necklaces and earrings from each other, and leaving them evenly placed on the bureau !"																			
"The staff at the hotel is efficient although they didn’t distinguish themselves from other higher, end hotels ."																			
"The staff is friendly enough and check in, check out went smoothly without incident ."																			
the staff is very professional and friendly and they go out of their way to make your stay comfortable .																			
